Unit Serial No : 240-IM0P2424-EU
Integration Time : 180 ms
Time Average: 3
Binning Average: 0
FFT Smoothing: 0%
Project Name : RPS900-R 
Sample Name :  SM240-IMOP2424-EU
Measurement No : 1
Measurement Time : 03/24/2016   16:40:34

Wavelength(nm)	Wavenumber(1/cm)	Absolute Irradiance(uW/cm^2/nm)
538.0000      	18587.3606    	0.00015       
539.0000      	18552.8757    	-0.00005      
540.0000      	18518.5185    	0.00023       
541.0000      	18484.2884    	0.00024       
542.0000      	18450.1845    	0.00005       
543.0000      	18416.2063    	-0.00037      
544.0000      	18382.3529    	-0.00033      
545.0000      	18348.6239    	-0.00025      
546.0000      	18315.0183    	0.00081       
547.0000      	18281.5356    	0.00052       
548.0000      	18248.1752    	-0.00058      
549.0000      	18214.9362    	-0.00033      
550.0000      	18181.8182    	0.00010       
551.0000      	18148.8203    	0.00045       
552.0000      	18115.9420    	-0.00012      
553.0000      	18083.1826    	0.00078       
554.0000      	18050.5415    	0.00049       
555.0000      	18018.0180    	-0.00101      
556.0000      	17985.6115    	-0.00021      
557.0000      	17953.3214    	-0.00088      
558.0000      	17921.1470    	-0.00055      
559.0000      	17889.0877    	-0.00002      
560.0000      	17857.1429    	-0.00020      
561.0000      	17825.3119    	-0.00013      
562.0000      	17793.5943    	-0.00001      
563.0000      	17761.9893    	-0.00039      
564.0000      	17730.4965    	-0.00013      
565.0000      	17699.1150    	0.00021       
566.0000      	17667.8445    	0.00000       
567.0000      	17636.6843    	-0.00033      
568.0000      	17605.6338    	-0.00033      
569.0000      	17574.6924    	0.00057       
570.0000      	17543.8596    	-0.00026      
571.0000      	17513.1349    	0.00010       
572.0000      	17482.5175    	0.00083       
573.0000      	17452.0070    	-0.00026      
574.0000      	17421.6028    	-0.00104      
575.0000      	17391.3043    	-0.00013      
576.0000      	17361.1111    	-0.00011      
577.0000      	17331.0225    	0.00055       
578.0000      	17301.0381    	0.00013       
579.0000      	17271.1572    	-0.00073      
580.0000      	17241.3793    	-0.00039      
581.0000      	17211.7040    	0.00006       
582.0000      	17182.1306    	-0.00004      
583.0000      	17152.6587    	0.00023       
584.0000      	17123.2877    	-0.00001      
585.0000      	17094.0171    	-0.00002      
586.0000      	17064.8464    	0.00094       
587.0000      	17035.7751    	0.00101       
588.0000      	17006.8027    	0.00028       
589.0000      	16977.9287    	0.00056       
590.0000      	16949.1525    	-0.00086      
591.0000      	16920.4738    	-0.00059      
592.0000      	16891.8919    	0.00095       
593.0000      	16863.4064    	0.00140       
594.0000      	16835.0168    	-0.00093      
595.0000      	16806.7227    	-0.00024      
596.0000      	16778.5235    	0.00052       
597.0000      	16750.4188    	0.00034       
598.0000      	16722.4080    	-0.00034      
599.0000      	16694.4908    	-0.00096      
600.0000      	16666.6667    	0.00043       
601.0000      	16638.9351    	-0.00090      
602.0000      	16611.2957    	-0.00043      
603.0000      	16583.7479    	-0.00052      
604.0000      	16556.2914    	-0.00073      
605.0000      	16528.9256    	-0.00060      
606.0000      	16501.6502    	-0.00018      
607.0000      	16474.4646    	-0.00054      
608.0000      	16447.3684    	0.00004       
609.0000      	16420.3612    	-0.00019      
610.0000      	16393.4426    	0.00020       
611.0000      	16366.6121    	0.00055       
612.0000      	16339.8693    	-0.00015      
613.0000      	16313.2137    	-0.00031      
614.0000      	16286.6450    	0.00031       
615.0000      	16260.1626    	0.00061       
616.0000      	16233.7662    	0.00075       
617.0000      	16207.4554    	0.00121       
618.0000      	16181.2298    	-0.00059      
619.0000      	16155.0889    	-0.00007      
620.0000      	16129.0323    	0.00068       
621.0000      	16103.0596    	0.00098       
622.0000      	16077.1704    	-0.00004      
623.0000      	16051.3644    	0.00040       
624.0000      	16025.6410    	0.00059       
625.0000      	16000.0000    	-0.00096      
626.0000      	15974.4409    	-0.00067      
627.0000      	15948.9633    	-0.00004      
628.0000      	15923.5669    	0.00036       
629.0000      	15898.2512    	0.00032       
630.0000      	15873.0159    	-0.00060      
631.0000      	15847.8605    	0.00001       
632.0000      	15822.7848    	0.00073       
633.0000      	15797.7883    	0.00040       
634.0000      	15772.8707    	0.00063       
635.0000      	15748.0315    	0.00192       
636.0000      	15723.2704    	0.00071       
637.0000      	15698.5871    	-0.00027      
638.0000      	15673.9812    	-0.00063      
639.0000      	15649.4523    	0.00018       
640.0000      	15625.0000    	0.00064       
641.0000      	15600.6240    	-0.00048      
642.0000      	15576.3240    	0.00012       
643.0000      	15552.0995    	0.00040       
644.0000      	15527.9503    	0.00177       
645.0000      	15503.8760    	-0.00007      
646.0000      	15479.8762    	0.00025       
647.0000      	15455.9505    	0.00045       
648.0000      	15432.0988    	-0.00073      
649.0000      	15408.3205    	-0.00021      
650.0000      	15384.6154    	0.00022       
651.0000      	15360.9831    	0.00070       
652.0000      	15337.4233    	0.00124       
653.0000      	15313.9357    	0.00068       
654.0000      	15290.5199    	0.00044       
655.0000      	15267.1756    	-0.00010      
656.0000      	15243.9024    	0.00092       
657.0000      	15220.7002    	-0.00001      
658.0000      	15197.5684    	-0.00027      
659.0000      	15174.5068    	0.00048       
660.0000      	15151.5152    	0.00173       
661.0000      	15128.5930    	0.00071       
662.0000      	15105.7402    	0.00060       
663.0000      	15082.9563    	0.00006       
664.0000      	15060.2410    	-0.00144      
665.0000      	15037.5940    	-0.00132      
666.0000      	15015.0150    	0.00039       
667.0000      	14992.5037    	0.00038       
668.0000      	14970.0599    	0.00057       
669.0000      	14947.6831    	0.00133       
670.0000      	14925.3731    	0.00108       
671.0000      	14903.1297    	-0.00073      
672.0000      	14880.9524    	-0.00026      
673.0000      	14858.8410    	0.00100       
674.0000      	14836.7953    	-0.00013      
675.0000      	14814.8148    	-0.00041      
676.0000      	14792.8994    	-0.00102      
677.0000      	14771.0487    	-0.00124      
678.0000      	14749.2625    	-0.00108      
679.0000      	14727.5405    	-0.00006      
680.0000      	14705.8824    	0.00054       
681.0000      	14684.2878    	0.00049       
682.0000      	14662.7566    	0.00133       
683.0000      	14641.2884    	-0.00164      
684.0000      	14619.8830    	-0.00070      
685.0000      	14598.5401    	0.00105       
686.0000      	14577.2595    	0.00027       
687.0000      	14556.0408    	-0.00014      
688.0000      	14534.8837    	0.00090       
689.0000      	14513.7881    	-0.00117      
690.0000      	14492.7536    	-0.00039      
691.0000      	14471.7800    	0.00126       
692.0000      	14450.8671    	0.00062       
693.0000      	14430.0144    	0.00148       
694.0000      	14409.2219    	0.00073       
695.0000      	14388.4892    	-0.00158      
696.0000      	14367.8161    	-0.00035      
697.0000      	14347.2023    	0.00075       
698.0000      	14326.6476    	0.00006       
699.0000      	14306.1516    	0.00204       
700.0000      	14285.7143    	-0.00122      
701.0000      	14265.3352    	-0.00268      
702.0000      	14245.0142    	0.00054       
703.0000      	14224.7511    	-0.00014      
704.0000      	14204.5455    	0.00108       
705.0000      	14184.3972    	-0.00009      
706.0000      	14164.3059    	-0.00182      
707.0000      	14144.2716    	-0.00125      
708.0000      	14124.2938    	-0.00092      
709.0000      	14104.3724    	0.00087       
710.0000      	14084.5070    	0.00044       
711.0000      	14064.6976    	0.00066       
712.0000      	14044.9438    	-0.00060      
713.0000      	14025.2454    	0.00048       
714.0000      	14005.6022    	0.00095       
715.0000      	13986.0140    	-0.00022      
716.0000      	13966.4804    	0.00105       
717.0000      	13947.0014    	-0.00043      
718.0000      	13927.5766    	-0.00060      
719.0000      	13908.2058    	-0.00006      
720.0000      	13888.8889    	-0.00026      
721.0000      	13869.6255    	0.00074       
722.0000      	13850.4155    	0.00116       
723.0000      	13831.2586    	0.00222       
724.0000      	13812.1547    	-0.00123      
725.0000      	13793.1034    	-0.00164      
726.0000      	13774.1047    	-0.00165      
727.0000      	13755.1582    	0.00109       
728.0000      	13736.2637    	0.00143       
729.0000      	13717.4211    	0.00239       
730.0000      	13698.6301    	0.00016       
731.0000      	13679.8906    	-0.00083      
732.0000      	13661.2022    	-0.00064      
733.0000      	13642.5648    	0.00158       
734.0000      	13623.9782    	0.00013       
735.0000      	13605.4422    	-0.00060      
736.0000      	13586.9565    	0.00039       
737.0000      	13568.5210    	0.00128       
738.0000      	13550.1355    	-0.00002      
739.0000      	13531.7997    	-0.00111      
740.0000      	13513.5135    	0.00035       
741.0000      	13495.2767    	0.00058       
742.0000      	13477.0889    	-0.00059      
743.0000      	13458.9502    	-0.00181      
744.0000      	13440.8602    	0.00242       
745.0000      	13422.8188    	0.00016       
746.0000      	13404.8257    	0.00026       
747.0000      	13386.8809    	0.00110       
748.0000      	13368.9840    	0.00159       
749.0000      	13351.1348    	-0.00218      
750.0000      	13333.3333    	0.00055       
751.0000      	13315.5792    	-0.00014      
752.0000      	13297.8723    	0.00022       
753.0000      	13280.2125    	-0.00094      
754.0000      	13262.5995    	-0.00015      
755.0000      	13245.0331    	-0.00175      
756.0000      	13227.5132    	-0.00162      
757.0000      	13210.0396    	-0.00057      
758.0000      	13192.6121    	0.00088       
759.0000      	13175.2306    	0.00267       
760.0000      	13157.8947    	0.00344       
761.0000      	13140.6045    	0.00161       
762.0000      	13123.3596    	0.00234       
763.0000      	13106.1599    	-0.00064      
764.0000      	13089.0052    	-0.00167      
765.0000      	13071.8954    	0.00094       
766.0000      	13054.8303    	-0.00206      
767.0000      	13037.8096    	-0.00101      
768.0000      	13020.8333    	-0.00165      
769.0000      	13003.9012    	-0.00073      
770.0000      	12987.0130    	0.00119       
771.0000      	12970.1686    	-0.00052      
772.0000      	12953.3679    	0.00064       
773.0000      	12936.6106    	-0.00009      
774.0000      	12919.8966    	0.00065       
775.0000      	12903.2258    	0.00163       
776.0000      	12886.5979    	-0.00037      
777.0000      	12870.0129    	-0.00167      
778.0000      	12853.4704    	-0.00003      
779.0000      	12836.9705    	-0.00039      
780.0000      	12820.5128    	0.00042       
781.0000      	12804.0973    	0.00027       
782.0000      	12787.7238    	0.00200       
783.0000      	12771.3921    	0.00079       
784.0000      	12755.1020    	0.00202       
785.0000      	12738.8535    	0.00015       
786.0000      	12722.6463    	-0.00137      
787.0000      	12706.4803    	-0.00020      
788.0000      	12690.3553    	0.00197       
789.0000      	12674.2712    	-0.00078      
790.0000      	12658.2278    	-0.00229      
791.0000      	12642.2250    	0.00092       
792.0000      	12626.2626    	0.00151       
793.0000      	12610.3405    	-0.00096      
794.0000      	12594.4584    	0.00139       
795.0000      	12578.6164    	0.00100       
796.0000      	12562.8141    	-0.00028      
797.0000      	12547.0514    	-0.00015      
798.0000      	12531.3283    	0.00199       
799.0000      	12515.6446    	0.00063       
800.0000      	12500.0000    	-0.00125      
