Unit Serial No : 240-IM0P2424-EU
Integration Time : 180 ms
Time Average: 3
Binning Average: 0
FFT Smoothing: 0%
Project Name : RPS900-R 
Sample Name :  SM240-IMOP2424-EU
Measurement No : 1
Measurement Time : 03/24/2016   16:47:40

Wavelength(nm)	Wavenumber(1/cm)	Absolute Irradiance(uW/cm^2/nm)
630.0000      	15873.0159    	-0.00060      
631.0000      	15847.8605    	0.00065       
632.0000      	15822.7848    	0.00056       
633.0000      	15797.7883    	0.00008       
634.0000      	15772.8707    	-0.00026      
635.0000      	15748.0315    	0.00142       
636.0000      	15723.2704    	0.00048       
637.0000      	15698.5871    	0.00038       
638.0000      	15673.9812    	0.00031       
639.0000      	15649.4523    	0.00066       
640.0000      	15625.0000    	0.00120       
641.0000      	15600.6240    	-0.00002      
642.0000      	15576.3240    	0.00086       
643.0000      	15552.0995    	0.00130       
644.0000      	15527.9503    	-0.00056      
645.0000      	15503.8760    	-0.00007      
646.0000      	15479.8762    	0.00085       
647.0000      	15455.9505    	0.00041       
648.0000      	15432.0988    	0.00028       
649.0000      	15408.3205    	0.00012       
650.0000      	15384.6154    	-0.00044      
651.0000      	15360.9831    	0.00107       
652.0000      	15337.4233    	0.00090       
653.0000      	15313.9357    	-0.00070      
654.0000      	15290.5199    	0.00145       
655.0000      	15267.1756    	0.00040       
656.0000      	15243.9024    	0.00017       
657.0000      	15220.7002    	0.00109       
658.0000      	15197.5684    	0.00102       
659.0000      	15174.5068    	0.00136       
660.0000      	15151.5152    	0.00152       
661.0000      	15128.5930    	0.00139       
662.0000      	15105.7402    	-0.00023      
663.0000      	15082.9563    	-0.00072      
664.0000      	15060.2410    	-0.00023      
665.0000      	15037.5940    	0.00009       
666.0000      	15015.0150    	0.00139       
667.0000      	14992.5037    	0.00005       
668.0000      	14970.0599    	0.00016       
669.0000      	14947.6831    	0.00112       
670.0000      	14925.3731    	0.00137       
671.0000      	14903.1297    	0.00074       
672.0000      	14880.9524    	-0.00022      
673.0000      	14858.8410    	0.00108       
674.0000      	14836.7953    	-0.00134      
675.0000      	14814.8148    	-0.00088      
676.0000      	14792.8994    	-0.00108      
677.0000      	14771.0487    	-0.00063      
678.0000      	14749.2625    	0.00077       
679.0000      	14727.5405    	0.00141       
680.0000      	14705.8824    	-0.00088      
681.0000      	14684.2878    	0.00072       
682.0000      	14662.7566    	0.00126       
683.0000      	14641.2884    	-0.00053      
684.0000      	14619.8830    	-0.00112      
685.0000      	14598.5401    	-0.00224      
686.0000      	14577.2595    	-0.00114      
687.0000      	14556.0408    	0.00097       
688.0000      	14534.8837    	0.00128       
689.0000      	14513.7881    	0.00067       
690.0000      	14492.7536    	0.00244       
691.0000      	14471.7800    	-0.00082      
692.0000      	14450.8671    	0.00042       
693.0000      	14430.0144    	0.00055       
694.0000      	14409.2219    	0.00202       
695.0000      	14388.4892    	-0.00167      
696.0000      	14367.8161    	0.00019       
697.0000      	14347.2023    	0.00009       
698.0000      	14326.6476    	-0.00047      
699.0000      	14306.1516    	0.00249       
700.0000      	14285.7143    	-0.00125      
701.0000      	14265.3352    	-0.00109      
702.0000      	14245.0142    	-0.00011      
703.0000      	14224.7511    	-0.00095      
704.0000      	14204.5455    	0.00001       
705.0000      	14184.3972    	-0.00070      
706.0000      	14164.3059    	-0.00125      
707.0000      	14144.2716    	-0.00129      
708.0000      	14124.2938    	-0.00036      
709.0000      	14104.3724    	-0.00095      
710.0000      	14084.5070    	0.00050       
711.0000      	14064.6976    	0.00190       
712.0000      	14044.9438    	0.00001       
713.0000      	14025.2454    	0.00124       
714.0000      	14005.6022    	0.00149       
715.0000      	13986.0140    	-0.00087      
716.0000      	13966.4804    	0.00100       
717.0000      	13947.0014    	0.00043       
718.0000      	13927.5766    	0.00060       
719.0000      	13908.2058    	0.00057       
720.0000      	13888.8889    	-0.00008      
721.0000      	13869.6255    	0.00110       
722.0000      	13850.4155    	-0.00053      
723.0000      	13831.2586    	0.00023       
724.0000      	13812.1547    	-0.00054      
725.0000      	13793.1034    	-0.00029      
726.0000      	13774.1047    	0.00021       
727.0000      	13755.1582    	0.00146       
728.0000      	13736.2637    	0.00130       
729.0000      	13717.4211    	0.00181       
730.0000      	13698.6301    	0.00035       
731.0000      	13679.8906    	-0.00074      
732.0000      	13661.2022    	0.00035       
733.0000      	13642.5648    	0.00109       
734.0000      	13623.9782    	-0.00001      
735.0000      	13605.4422    	0.00059       
736.0000      	13586.9565    	0.00126       
737.0000      	13568.5210    	0.00098       
738.0000      	13550.1355    	0.00064       
739.0000      	13531.7997    	0.00024       
740.0000      	13513.5135    	0.00062       
741.0000      	13495.2767    	-0.00101      
742.0000      	13477.0889    	0.00039       
743.0000      	13458.9502    	-0.00164      
744.0000      	13440.8602    	0.00080       
745.0000      	13422.8188    	0.00043       
746.0000      	13404.8257    	0.00161       
747.0000      	13386.8809    	0.00005       
748.0000      	13368.9840    	0.00157       
749.0000      	13351.1348    	-0.00283      
750.0000      	13333.3333    	-0.00031      
751.0000      	13315.5792    	0.00015       
752.0000      	13297.8723    	0.00173       
753.0000      	13280.2125    	0.00020       
754.0000      	13262.5995    	-0.00048      
755.0000      	13245.0331    	-0.00204      
756.0000      	13227.5132    	-0.00208      
757.0000      	13210.0396    	-0.00070      
758.0000      	13192.6121    	0.00164       
759.0000      	13175.2306    	0.00285       
760.0000      	13157.8947    	0.00309       
761.0000      	13140.6045    	0.00157       
762.0000      	13123.3596    	0.00040       
763.0000      	13106.1599    	0.00102       
764.0000      	13089.0052    	-0.00067      
765.0000      	13071.8954    	0.00102       
766.0000      	13054.8303    	-0.00036      
767.0000      	13037.8096    	-0.00150      
768.0000      	13020.8333    	-0.00151      
769.0000      	13003.9012    	-0.00037      
770.0000      	12987.0130    	0.00096       
771.0000      	12970.1686    	-0.00103      
772.0000      	12953.3679    	0.00124       
773.0000      	12936.6106    	-0.00051      
774.0000      	12919.8966    	-0.00125      
775.0000      	12903.2258    	0.00210       
776.0000      	12886.5979    	0.00022       
777.0000      	12870.0129    	0.00172       
778.0000      	12853.4704    	0.00038       
779.0000      	12836.9705    	-0.00030      
780.0000      	12820.5128    	-0.00012      
781.0000      	12804.0973    	0.00482       
782.0000      	12787.7238    	0.00177       
783.0000      	12771.3921    	0.00105       
784.0000      	12755.1020    	0.00142       
785.0000      	12738.8535    	0.00187       
786.0000      	12722.6463    	-0.00028      
787.0000      	12706.4803    	0.00018       
788.0000      	12690.3553    	0.00186       
789.0000      	12674.2712    	-0.00066      
790.0000      	12658.2278    	-0.00239      
791.0000      	12642.2250    	0.00171       
792.0000      	12626.2626    	0.00166       
793.0000      	12610.3405    	-0.00024      
794.0000      	12594.4584    	0.00276       
795.0000      	12578.6164    	0.00165       
796.0000      	12562.8141    	-0.00370      
797.0000      	12547.0514    	-0.00254      
798.0000      	12531.3283    	-0.00059      
799.0000      	12515.6446    	0.00349       
800.0000      	12500.0000    	0.00103       
